task,Class_Names,#cPkgClasses,classScope,cIsAbstract,cNestingLevel,#cImports,#cNativeImports,cNativeImportsList,#cInherits,#cImplements
AlmkvistGiulleraFormula,.AlmkvistGiulleraFormula,1.0,public,0.0,0.0,4.0,4.0,"java.math.BigDecimal,java.math.BigInteger,java.math.MathContext,java.math.RoundingMode",0.0,0.0
AlmostPrime,.AlmostPrime,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
AmbTask,.AmbTask,1.0,public,0.0,0.0,5.0,5.0,"java.util.ArrayList,java.util.List,java.util.function.BiFunction,java.util.stream.Collectors,java.util.stream.Stream",0.0,0.0
AmicablePairs,.AmicablePairs,1.0,public,0.0,0.0,4.0,4.0,"java.util.Map,java.util.function.Function,java.util.stream.Collectors,java.util.stream.LongStream",0.0,0.0
AngleDifference,.AngleDifference,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
AnglesNormalizationAndConversion,.AnglesNormalizationAndConversion,1.0,public,0.0,0.0,1.0,1.0,java.text.DecimalFormat,0.0,0.0
Antiprime,.Antiprime,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
App,.App,2.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
App,.App.RNG,2.0,public,0.0,1.0,0.0,0.0,,0.0,0.0
Approx,.Approx,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Approximate,.Approximate,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Arguments,.Arguments,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
ArithmeticDerivative,.ArithmeticDerivative,1.0,public,0.0,0.0,1.0,1.0,java.math.BigInteger,0.0,0.0
ArithmeticGeometricMean,.ArithmeticGeometricMean,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
ArithmeticNumbers,.ArithmeticNumbers,1.0,public,0.0,0.0,5.0,5.0,"java.util.HashSet,java.util.List,java.util.Set,java.util.stream.Collectors,java.util.stream.Stream",0.0,0.0
ArrayCallback,.ArrayCallback,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
ArrayCallback7,.ArrayCallback7,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
AsciiArtDiagramConverter,.AsciiArtDiagramConverter,1.0,public,0.0,0.0,5.0,5.0,"java.math.BigInteger,java.util.ArrayList,java.util.LinkedHashMap,java.util.List,java.util.Map",0.0,0.0
Attractive,.Attractive,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
AverageLoopLength,.AverageLoopLength,1.0,public,0.0,0.0,3.0,3.0,"java.util.HashSet,java.util.Random,java.util.Set",0.0,0.0
AverageMeanAngle,.AverageMeanAngle,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
AVLtree,.AVLtree,2.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
AVLtree,.AVLtree.Node,2.0,private,0.0,1.0,0.0,0.0,,0.0,0.0
BalancedBrackets,.BalancedBrackets,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
BalancedTernary,.BalancedTernary,2.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
BalancedTernary,.BalancedTernary.BTernary,2.0,public,0.0,1.0,0.0,0.0,,0.0,0.0
Beer,.Beer,1.0,public,0.0,0.0,1.0,1.0,java.text.MessageFormat,0.0,0.0
Bell,.Bell,2.0,public,0.0,0.0,2.0,2.0,"java.util.ArrayList,java.util.List",0.0,0.0
Bell,.Bell.BellTriangle,2.0,private,0.0,1.0,2.0,2.0,"java.util.ArrayList,java.util.List",0.0,0.0
BenfordsLaw,.BenfordsLaw,1.0,public,0.0,0.0,2.0,2.0,"java.math.BigInteger,java.util.Locale",0.0,0.0
BestShuffle,.BestShuffle,1.0,public,0.0,0.0,1.0,1.0,java.util.Random,0.0,0.0
Bias,.Bias,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
BinaryLiteral,.BinaryLiteral,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
BinarySearchIterative,.BinarySearchIterative,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
BinarySearchRecursive,.BinarySearchRecursive,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Bins,.Bins,1.0,public,0.0,0.0,3.0,3.0,"java.util.Arrays,java.util.Collections,java.util.List",0.0,0.0
BioinformaticsGlobalAlignment,.BioinformaticsGlobalAlignment,1.0,public,0.0,0.0,8.0,8.0,"java.util.ArrayList,java.util.Arrays,java.util.HashMap,java.util.HashSet,java.util.List,java.util.Map,java.util.Set,java.util.stream.Collectors",0.0,0.0
Biorythms,.Biorythms,1.0,public,0.0,0.0,4.0,4.0,"java.time.LocalDate,java.time.format.DateTimeFormatter,java.time.temporal.ChronoUnit,java.util.List",0.0,0.0
BitcoinAddressValidator,.BitcoinAddressValidator,1.0,public,0.0,0.0,4.0,4.0,"java.math.BigInteger,java.security.MessageDigest,java.security.NoSuchAlgorithmException,java.util.Arrays",0.0,0.0
Blah,.Blah,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
BlumInteger,.BlumInteger,1.0,public,0.0,0.0,2.0,2.0,"java.util.HashMap,java.util.Map",0.0,0.0
BogoSort,.BogoSort,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
BoyerMooreStringSearch,.BoyerMooreStringSearch,1.0,public,0.0,0.0,6.0,6.0,"java.util.ArrayList,java.util.Arrays,java.util.Collections,java.util.List,java.util.stream.Collectors,java.util.stream.IntStream",0.0,0.0
BraceExpansion,.BraceExpansion,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Brazilian,.Brazilian,1.0,public,0.0,0.0,2.0,2.0,"java.math.BigInteger,java.util.List",0.0,0.0
CalculateE,.CalculateE,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Calculate_Pi,.Calculate_Pi,1.0,public,0.0,0.0,3.0,3.0,"java.math.BigDecimal,java.math.MathContext,java.util.Objects",0.0,0.0
CalendarTask,.CalendarTask,1.0,public,0.0,0.0,2.0,2.0,"java.text.*,java.util.*",0.0,0.0
CalkinWilfSequence,.CalkinWilfSequence,2.0,public,0.0,0.0,2.0,2.0,"java.util.ArrayDeque,java.util.Deque",0.0,0.0
CalkinWilfSequence,.Rational,2.0,default,0.0,0.0,2.0,2.0,"java.util.ArrayDeque,java.util.Deque",0.0,0.0
CamelCaseAndSnakeCase,.CamelCaseAndSnakeCase,1.0,public,0.0,0.0,1.0,1.0,java.util.List,0.0,0.0
CanonicalizeCIDR,.CanonicalizeCIDR,2.0,public,0.0,0.0,2.0,2.0,"java.text.MessageFormat,java.text.ParseException",0.0,0.0
CanonicalizeCIDR,.CanonicalizeCIDR.CIDR,2.0,private,0.0,1.0,2.0,2.0,"java.text.MessageFormat,java.text.ParseException",0.0,0.0
CastingOutNines,.CastingOutNines,1.0,public,0.0,0.0,2.0,2.0,"java.util.*,java.util.stream.IntStream",0.0,0.0
CatlanNumbers,.CatlanNumbers,4.0,public,0.0,0.0,5.0,5.0,"java.math.BigInteger,java.util.ArrayList,java.util.HashMap,java.util.List,java.util.Map",0.0,0.0
CatlanNumbers,.CatlanNumbers.Catlan1,4.0,private,0.0,1.0,5.0,5.0,"java.math.BigInteger,java.util.ArrayList,java.util.HashMap,java.util.List,java.util.Map",0.0,1.0
CatlanNumbers,.CatlanNumbers.Catlan2,4.0,private,0.0,1.0,5.0,5.0,"java.math.BigInteger,java.util.ArrayList,java.util.HashMap,java.util.List,java.util.Map",0.0,1.0
CatlanNumbers,.CatlanNumbers.Catlan3,4.0,private,0.0,1.0,5.0,5.0,"java.math.BigInteger,java.util.ArrayList,java.util.HashMap,java.util.List,java.util.Map",0.0,1.0
Chaocipher,.Chaocipher,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
ChernicksCarmichaelNumbers,.ChernicksCarmichaelNumbers,1.0,public,0.0,0.0,3.0,3.0,"java.math.BigInteger,java.util.ArrayList,java.util.List",0.0,0.0
Chess960,.Chess960,1.0,public,0.0,0.0,3.0,3.0,"java.util.Arrays,java.util.Collections,java.util.List",0.0,0.0
Chess960SPID,.Chess960SPID,1.0,public,0.0,0.0,5.0,5.0,"java.util.HashMap,java.util.List,java.util.Map,java.util.Set,java.util.function.Predicate",0.0,0.0
ChineseRemainderTheorem,.ChineseRemainderTheorem,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays.stream,0.0,0.0
Cholesky,.Cholesky,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
Church,.Church,1.0,public,0.0,0.0,2.0,2.0,"java.util.concurrent.atomic.AtomicInteger,java.util.function.Function",0.0,0.0
Cipher,.Cipher,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Circles,.Circles,2.0,public,0.0,0.0,1.0,1.0,java.util.Objects,0.0,0.0
Circles,.Circles.Point,2.0,private,0.0,1.0,1.0,1.0,java.util.Objects,0.0,0.0
CircleSort,.CircleSort,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
CircularPrimes,.CircularPrimes,1.0,public,0.0,0.0,2.0,2.0,"java.math.BigInteger,java.util.Arrays",0.0,0.0
Cistercian,.Cistercian,1.0,public,0.0,0.0,2.0,2.0,"java.util.Arrays,java.util.List",0.0,0.0
Clear,.Clear,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
CocktailSort,.CocktailSort,1.0,public,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
ColorfulNumbers,.ColorfulNumbers,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Comb,.Comb,1.0,public,0.0,0.0,2.0,2.0,"java.util.Collections,java.util.LinkedList",0.0,0.0
CombinationsAndPermutations,.CombinationsAndPermutations,1.0,public,0.0,0.0,1.0,1.0,java.math.BigInteger,0.0,0.0
CommonPath,.CommonPath,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
ComparatorTest,.ComparatorTest,1.0,public,0.0,0.0,2.0,2.0,"java.util.Comparator,java.util.Arrays",0.0,0.0
Compare,.Compare,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
CompareListOfStrings,.CompareListOfStrings,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
CompileTimeCalculation,.CompileTimeCalculation,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Complex,.Complex,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Compose,.Compose,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
CompositeNumbersK,.CompositeNumbersK,1.0,public,0.0,0.0,5.0,5.0,"java.math.BigInteger,java.util.ArrayList,java.util.Collections,java.util.List,java.util.concurrent.ThreadLocalRandom",0.0,0.0
CompoundDuration,.CompoundDuration,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
ComputerZero,.ComputerZero,4.0,public,0.0,0.0,12.0,12.0,"java.lang.Math.floorMod,java.lang.Math.min,java.util.stream.Collectors.toMap,java.util.AbstractMap.SimpleEntry,java.util.ArrayList,java.util.Arrays,java.util.HashMap,java.util.List,java.util.Map,java.util.regex.Matcher,java.util.regex.Pattern,java.util.stream.Stream",0.0,0.0
ComputerZero,.ComputerZero.ComputerZeroException,4.0,public,0.0,1.0,12.0,12.0,"java.lang.Math.floorMod,java.lang.Math.min,java.util.stream.Collectors.toMap,java.util.AbstractMap.SimpleEntry,java.util.ArrayList,java.util.Arrays,java.util.HashMap,java.util.List,java.util.Map,java.util.regex.Matcher,java.util.regex.Pattern,java.util.stream.Stream",1.0,0.0
ComputerZero,.ComputerZero.Instruction,4.0,private,0.0,1.0,12.0,12.0,"java.lang.Math.floorMod,java.lang.Math.min,java.util.stream.Collectors.toMap,java.util.AbstractMap.SimpleEntry,java.util.ArrayList,java.util.Arrays,java.util.HashMap,java.util.List,java.util.Map,java.util.regex.Matcher,java.util.regex.Pattern,java.util.stream.Stream",0.0,0.0
ComputerZero,.ComputerZero.Assembly,4.0,private,0.0,1.0,12.0,12.0,"java.lang.Math.floorMod,java.lang.Math.min,java.util.stream.Collectors.toMap,java.util.AbstractMap.SimpleEntry,java.util.ArrayList,java.util.Arrays,java.util.HashMap,java.util.List,java.util.Map,java.util.regex.Matcher,java.util.regex.Pattern,java.util.stream.Stream",0.0,0.0
ConjugateTranspose,.ConjugateTranspose,3.0,public,0.0,0.0,2.0,2.0,"java.util.Arrays,java.util.List",0.0,0.0
ConjugateTranspose,.ComplexMatrix,3.0,default,0.0,0.0,2.0,2.0,"java.util.Arrays,java.util.List",0.0,0.0
ConjugateTranspose,.Complex,3.0,default,0.0,0.0,2.0,2.0,"java.util.Arrays,java.util.List",0.0,0.0
ConsecutivePrimes,.ConsecutivePrimes,1.0,public,0.0,0.0,3.0,3.0,"java.util.ArrayList,java.util.BitSet,java.util.List",0.0,0.0
ConstructFromRationalNumber,.ConstructFromRationalNumber,2.0,public,0.0,0.0,3.0,3.0,"java.util.Iterator,java.util.List,java.util.Map",0.0,0.0
ConstructFromRationalNumber,.ConstructFromRationalNumber.R2cf,2.0,private,0.0,1.0,3.0,3.0,"java.util.Iterator,java.util.List,java.util.Map",0.0,1.0
ConvexHull,.ConvexHull,2.0,public,0.0,0.0,5.0,5.0,"java.util.ArrayList,java.util.Arrays,java.util.List,java.util.stream.Collectors,java.util.Collections.emptyList",0.0,0.0
ConvexHull,.ConvexHull.Point,2.0,private,0.0,1.0,5.0,5.0,"java.util.ArrayList,java.util.Arrays,java.util.List,java.util.stream.Collectors,java.util.Collections.emptyList",0.0,1.0
Copy,.Copy,1.0,public,0.0,0.0,1.0,1.0,java.nio.file.*,0.0,0.0
Count,.Count,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
CountingInFactors,.CountingInFactors,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
CountSubstring,.CountSubstring,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
CountTheCoins,.CountTheCoins,1.0,default,0.0,0.0,2.0,2.0,"java.util.Arrays,java.math.BigInteger",0.0,0.0
CramersRule,.CramersRule,2.0,public,0.0,0.0,3.0,3.0,"java.util.ArrayList,java.util.Arrays,java.util.List",0.0,0.0
CramersRule,.CramersRule.Matrix,2.0,private,0.0,1.0,3.0,3.0,"java.util.ArrayList,java.util.Arrays,java.util.List",0.0,0.0
CreateAFile,.CreateAFile,1.0,public,0.0,0.0,3.0,3.0,"java.io.IOException,java.nio.file.Files,java.nio.file.Path",0.0,0.0
CreateFile,.CreateFile,1.0,public,0.0,0.0,5.0,5.0,"java.io.IOException,java.nio.file.Files,java.nio.file.Path,java.nio.file.Paths,java.util.Collections",0.0,0.0
CreateFileTest,.CreateFileTest,1.0,public,0.0,0.0,1.0,1.0,java.io.*,0.0,0.0
CreateTempFile,.CreateTempFile,1.0,public,0.0,0.0,2.0,2.0,"java.io.File,java.io.IOException",0.0,0.0
CubanPrimes,.CubanPrimes,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
CullenAndWoodhall,.CullenAndWoodhall,1.0,public,0.0,0.0,1.0,1.0,java.math.BigInteger,0.0,0.0
Currency,.Currency,1.0,public,0.0,0.0,2.0,2.0,"java.math.*,java.util.*",0.0,0.0
Curry,.Curry,1.0,public,0.0,0.0,2.0,2.0,"java.util.function.BiFunction,java.util.function.Function",0.0,0.0
CurzonNumbers,.CurzonNumbers,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Cusip,.Cusip,1.0,public,0.0,0.0,1.0,1.0,java.util.List,0.0,0.0
CutRectangle,.CutRectangle,1.0,public,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
CyclotomicPolynomial,.CyclotomicPolynomial,4.0,public,0.0,0.0,7.0,7.0,"java.util.ArrayList,java.util.Collections,java.util.Comparator,java.util.HashMap,java.util.List,java.util.Map,java.util.TreeMap",0.0,0.0
CyclotomicPolynomial,.CyclotomicPolynomial.Polynomial,4.0,private,0.0,1.0,7.0,7.0,"java.util.ArrayList,java.util.Collections,java.util.Comparator,java.util.HashMap,java.util.List,java.util.Map,java.util.TreeMap",0.0,0.0
CyclotomicPolynomial,.CyclotomicPolynomial.TermSorter,4.0,private,0.0,1.0,7.0,7.0,"java.util.ArrayList,java.util.Collections,java.util.Comparator,java.util.HashMap,java.util.List,java.util.Map,java.util.TreeMap",0.0,1.0
CyclotomicPolynomial,.CyclotomicPolynomial.Term,4.0,private,0.0,1.0,7.0,7.0,"java.util.ArrayList,java.util.Collections,java.util.Comparator,java.util.HashMap,java.util.List,java.util.Map,java.util.TreeMap",0.0,0.0
CyclotomicPolynomials,.CyclotomicPolynomials,1.0,public,0.0,0.0,4.0,4.0,"java.math.BigInteger,java.util.ArrayList,java.util.Arrays,java.util.List",0.0,0.0
DammAlgorithm,.DammAlgorithm,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
DateFormat,.DateFormat,1.0,public,0.0,0.0,2.0,2.0,"java.text.SimpleDateFormat,java.util.Date",0.0,0.0
Dates,.Dates,1.0,public,0.0,0.0,4.0,4.0,"java.util.Calendar,java.util.GregorianCalendar,java.text.DateFormatSymbols,java.text.DateFormat",0.0,0.0
DateTest,.DateTest,1.0,public,0.0,0.0,3.0,3.0,"java.text.DateFormat,java.util.Date,java.util.TimeZone",0.0,0.0
DeBruijn,.DeBruijn,1.0,public,0.0,0.0,4.0,4.0,"java.util.ArrayList,java.util.Arrays,java.util.List,java.util.function.BiConsumer",0.0,0.0
DeceptiveNumbers,.DeceptiveNumbers,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Decode,.Decode,1.0,public,0.0,0.0,2.0,2.0,"java.nio.charset.StandardCharsets,java.util.Base64",0.0,0.0
Deconvolution,.Deconvolution,2.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
Deconvolution,.Complex,2.0,default,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
Deconvolution1D,.Deconvolution1D,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
DeepCopy,.DeepCopy,3.0,public,0.0,0.0,5.0,5.0,"java.io.ByteArrayInputStream,java.io.ByteArrayOutputStream,java.io.ObjectInputStream,java.io.ObjectOutputStream,java.io.Serializable",0.0,0.0
DeepCopy,.DeepCopy.Address,3.0,public,0.0,1.0,5.0,5.0,"java.io.ByteArrayInputStream,java.io.ByteArrayOutputStream,java.io.ObjectInputStream,java.io.ObjectOutputStream,java.io.Serializable",0.0,2.0
DeepCopy,.DeepCopy.Person,3.0,public,0.0,1.0,5.0,5.0,"java.io.ByteArrayInputStream,java.io.ByteArrayOutputStream,java.io.ObjectInputStream,java.io.ObjectOutputStream,java.io.Serializable",0.0,2.0
DeleteAFile,.DeleteAFile,1.0,public,0.0,0.0,3.0,3.0,"java.io.IOException,java.nio.file.Files,java.nio.file.Path",0.0,0.0
DemingsFunnel,.DemingsFunnel,1.0,public,0.0,0.0,3.0,3.0,"java.lang.Math.*,java.util.Arrays,java.util.function.BiFunction",0.0,0.0
DepartmentNumbers,.DepartmentNumbers,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
DerangedAnagrams,.DerangedAnagrams,1.0,public,0.0,0.0,9.0,9.0,"java.io.File,java.io.IOException,java.nio.file.Files,java.util.ArrayList,java.util.Arrays,java.util.Comparator,java.util.HashMap,java.util.List,java.util.Map",0.0,0.0
Derangement,.Derangement,1.0,public,0.0,0.0,3.0,3.0,"java.util.ArrayList,java.util.Arrays,java.util.List",0.0,0.0
DescendingPrimes,.DescendingPrimes,1.0,public,0.0,0.0,3.0,3.0,"java.util.ArrayList,java.util.Collections,java.util.List",0.0,0.0
DetermineSentenceType,.DetermineSentenceType,1.0,public,0.0,0.0,1.0,1.0,java.util.List,0.0,0.0
DetermineUniqueCharacters,.DetermineUniqueCharacters,1.0,public,0.0,0.0,4.0,4.0,"java.util.HashSet,java.util.List,java.util.OptionalInt,java.util.Set",0.0,0.0
Dice,.Dice,1.0,public,0.0,0.0,1.0,1.0,java.util.Random,0.0,0.0
Digester,.Digester,1.0,public,0.0,0.0,3.0,3.0,"java.nio.charset.StandardCharsets,java.security.MessageDigest,java.security.NoSuchAlgorithmException",0.0,0.0
DigitalRoot,.DigitalRoot,1.0,default,0.0,0.0,1.0,1.0,java.math.BigInteger,0.0,0.0
Dijkstra,.Dijkstra,4.0,public,0.0,0.0,2.0,2.0,"java.io.*,java.util.*",0.0,0.0
Dijkstra,.Graph,4.0,default,0.0,0.0,2.0,2.0,"java.io.*,java.util.*",0.0,0.0
Dijkstra,.Graph.Edge,4.0,public,0.0,1.0,2.0,2.0,"java.io.*,java.util.*",0.0,0.0
Dijkstra,.Graph.Vertex,4.0,public,0.0,1.0,2.0,2.0,"java.io.*,java.util.*",0.0,1.0
DinesmanMultipleDwelling,.DinesmanMultipleDwelling,1.0,default,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
DisariumNumbers,.DisariumNumbers,1.0,public,0.0,0.0,1.0,1.0,java.lang.Math,0.0,0.0
DiscordianDate,.DiscordianDate,1.0,public,0.0,0.0,2.0,2.0,"java.util.Calendar,java.util.GregorianCalendar",0.0,0.0
Disjoint,.Disjoint,1.0,public,0.0,0.0,4.0,4.0,"java.util.ArrayList,java.util.Arrays,java.util.Collections,java.util.List",0.0,0.0
DistributionInFactorials,.DistributionInFactorials,1.0,public,0.0,0.0,2.0,2.0,"java.math.BigInteger,java.util.List",0.0,0.0
DiversityPredictionTheorem,.DiversityPredictionTheorem,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
DnsQuery,.DnsQuery,1.0,default,0.0,0.0,4.0,4.0,"java.net.InetAddress,java.net.Inet4Address,java.net.Inet6Address,java.net.UnknownHostException",0.0,0.0
DominosExtraCredit,.DominosExtraCredit,1.0,public,0.0,0.0,1.0,1.0,java.math.BigInteger,0.0,0.0
Doom,.Doom,2.0,default,0.0,0.0,0.0,0.0,,0.0,0.0
Doom,.Date,2.0,default,0.0,0.0,0.0,0.0,,0.0,0.0
DotProduct,.DotProduct,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
DoubleLinkedListTraversing,.DoubleLinkedListTraversing,1.0,public,0.0,0.0,3.0,3.0,"java.util.LinkedList,java.util.stream.Collectors,java.util.stream.IntStream",0.0,0.0
DoublyLinkedList,.DoublyLinkedList,1.0,public,0.0,0.0,1.0,1.0,java.util.LinkedList,0.0,0.0
DuffianNumbers,.DuffianNumbers,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
DuplicateFiles,.DuplicateFiles,4.0,public,0.0,0.0,6.0,6.0,"java.io.*,java.nio.*,java.nio.file.*,java.nio.file.attribute.*,java.security.*,java.util.*",0.0,0.0
DuplicateFiles,.DuplicateFiles.StringListComparator,4.0,private,0.0,1.0,6.0,6.0,"java.io.*,java.nio.*,java.nio.file.*,java.nio.file.attribute.*,java.security.*,java.util.*",0.0,1.0
DuplicateFiles,.DuplicateFiles.FileVisitor,4.0,private,0.0,1.0,6.0,6.0,"java.io.*,java.nio.*,java.nio.file.*,java.nio.file.attribute.*,java.security.*,java.util.*",1.0,0.0
DuplicateFiles,.DuplicateFiles.FileKey,4.0,private,0.0,1.0,6.0,6.0,"java.io.*,java.nio.*,java.nio.file.*,java.nio.file.attribute.*,java.security.*,java.util.*",0.0,1.0
DutchNationalFlag,.DutchNationalFlag,1.0,public,0.0,0.0,2.0,2.0,"java.util.Arrays,java.util.Random",0.0,0.0
EasterRelatedHolidays,.EasterRelatedHolidays,1.0,public,0.0,0.0,2.0,2.0,"java.text.DateFormatSymbols,java.util.*",0.0,0.0
Eertree,.Eertree,2.0,public,0.0,0.0,4.0,4.0,"java.util.ArrayList,java.util.HashMap,java.util.List,java.util.Map",0.0,0.0
Eertree,.Eertree.Node,2.0,private,0.0,1.0,4.0,4.0,"java.util.ArrayList,java.util.HashMap,java.util.List,java.util.Map",0.0,0.0
EgyptianDivision,.EgyptianDivision,1.0,public,0.0,0.0,2.0,2.0,"java.util.ArrayList,java.util.List",0.0,0.0
EgyptianFractions,.EgyptianFractions,2.0,public,0.0,0.0,6.0,6.0,"java.math.BigDecimal,java.math.BigInteger,java.math.MathContext,java.util.ArrayList,java.util.Collections,java.util.List",0.0,0.0
EgyptianFractions,.EgyptianFractions.Frac,2.0,private,0.0,1.0,6.0,6.0,"java.math.BigDecimal,java.math.BigInteger,java.math.MathContext,java.util.ArrayList,java.util.Collections,java.util.List",0.0,1.0
EKGSequenceConvergence,.EKGSequenceConvergence,1.0,public,0.0,0.0,5.0,5.0,"java.util.ArrayList,java.util.Collections,java.util.HashMap,java.util.List,java.util.Map",0.0,0.0
ElementaryCellularAutomatonInfiniteLength,.ElementaryCellularAutomatonInfiniteLength,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
ElementaryCellularAutomatonRandomNumberGenerator,.ElementaryCellularAutomatonRandomNumberGenerator,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
ElementWiseOp,.ElementWiseOp,1.0,public,0.0,0.0,5.0,5.0,"java.util.Arrays,java.util.HashMap,java.util.Map,java.util.function.BiFunction,java.util.stream.Stream",0.0,0.0
EllipticCurveDigitalSignatureAlgorithm,.EllipticCurveDigitalSignatureAlgorithm,3.0,public,0.0,0.0,2.0,2.0,"java.util.List,java.util.concurrent.ThreadLocalRandom",0.0,0.0
EllipticCurveDigitalSignatureAlgorithm,.EllipticCurveDigitalSignatureAlgorithm.EllipticCurve,3.0,private,0.0,1.0,2.0,2.0,"java.util.List,java.util.concurrent.ThreadLocalRandom",0.0,0.0
