file_path,task,dropped,reason,final_filename,class_name
d:\Sync-New\greenLab\data\rosetta_code_grouped\Achilles-numbers\AchillesNumbers.java,Achilles-numbers,FALSE,OK,AchillesNumbers.java,AchillesNumbers
d:\Sync-New\greenLab\data\rosetta_code_grouped\Ackermann-function\Ackermann.java,Ackermann-function,FALSE,OK,Ackermann.java,Ackermann
d:\Sync-New\greenLab\data\rosetta_code_grouped\Ackermann-function\IterativeAckermann.java,Ackermann-function,FALSE,OK,IterativeAckermann.java,IterativeAckermann
d:\Sync-New\greenLab\data\rosetta_code_grouped\Active-Directory-Connect\LdapConnectionDemo.java,Active-Directory-Connect,FALSE,OK,LdapConnectionDemo.java,LdapConnectionDemo
d:\Sync-New\greenLab\data\rosetta_code_grouped\Active-Directory-Search-for-a-user\LdapSearchDemo.java,Active-Directory-Search-for-a-user,FALSE,OK,LdapSearchDemo.java,LdapSearchDemo
d:\Sync-New\greenLab\data\rosetta_code_grouped\Active-object\Integrator.java,Active-object,FALSE,OK,Integrator.java,Integrator
d:\Sync-New\greenLab\data\rosetta_code_grouped\Additive-primes\additivePrimes.java,Additive-primes,FALSE,OK,additivePrimes.java,additivePrimes
d:\Sync-New\greenLab\data\rosetta_code_grouped\ADFGVX-cipher\ADFGVXCipher.java,ADFGVX-cipher,FALSE,OK,ADFGVXCipher.java,ADFGVXCipher
d:\Sync-New\greenLab\data\rosetta_code_grouped\AKS-test-for-primes\AksTest.java,AKS-test-for-primes,FALSE,OK,AksTest.java,AksTest
d:\Sync-New\greenLab\data\rosetta_code_grouped\Algebraic-data-types\Task.java,Algebraic-data-types,FALSE,OK,Task.java,Task
d:\Sync-New\greenLab\data\rosetta_code_grouped\Align-columns\ColumnAligner.java,Align-columns,FALSE,OK,ColumnAligner.java,ColumnAligner
d:\Sync-New\greenLab\data\rosetta_code_grouped\Aliquot-sequence-classifications\AliquotSequenceClassifications.java,Aliquot-sequence-classifications,FALSE,OK,AliquotSequenceClassifications.java,AliquotSequenceClassifications
d:\Sync-New\greenLab\data\rosetta_code_grouped\Almkvist-Giullera-formula-for-pi\AlmkvistGiulleraFormula.java,Almkvist-Giullera-formula-for-pi,FALSE,OK,AlmkvistGiulleraFormula.java,AlmkvistGiulleraFormula
d:\Sync-New\greenLab\data\rosetta_code_grouped\Almost-prime\AlmostPrime.java,Almost-prime,FALSE,OK,AlmostPrime.java,AlmostPrime
d:\Sync-New\greenLab\data\rosetta_code_grouped\Amb\AmbTask.java,Amb,FALSE,OK,AmbTask.java,AmbTask
d:\Sync-New\greenLab\data\rosetta_code_grouped\Amicable-pairs\AmicablePairs.java,Amicable-pairs,FALSE,OK,AmicablePairs.java,AmicablePairs
d:\Sync-New\greenLab\data\rosetta_code_grouped\Anagrams-Deranged-anagrams\DerangedAnagrams.java,Anagrams-Deranged-anagrams,FALSE,OK,DerangedAnagrams.java,DerangedAnagrams
d:\Sync-New\greenLab\data\rosetta_code_grouped\Angle-difference-between-two-bearings\AngleDifference.java,Angle-difference-between-two-bearings,FALSE,OK,AngleDifference.java,AngleDifference
d:\Sync-New\greenLab\data\rosetta_code_grouped\Angles-geometric-normalization-and-conversion\AnglesNormalizationAndConversion.java,Angles-geometric-normalization-and-conversion,FALSE,OK,AnglesNormalizationAndConversion.java,AnglesNormalizationAndConversion
d:\Sync-New\greenLab\data\rosetta_code_grouped\Anti-primes\Antiprime.java,Anti-primes,FALSE,OK,Antiprime.java,Antiprime
d:\Sync-New\greenLab\data\rosetta_code_grouped\Append-a-record-to-the-end-of-a-text-file\RecordAppender.java,Append-a-record-to-the-end-of-a-text-file,FALSE,OK,RecordAppender.java,RecordAppender
d:\Sync-New\greenLab\data\rosetta_code_grouped\Apply-a-callback-to-an-array\ArrayCallback.java,Apply-a-callback-to-an-array,FALSE,OK,ArrayCallback.java,ArrayCallback
d:\Sync-New\greenLab\data\rosetta_code_grouped\Apply-a-callback-to-an-array\ArrayCallback7.java,Apply-a-callback-to-an-array,FALSE,OK,ArrayCallback7.java,ArrayCallback7
d:\Sync-New\greenLab\data\rosetta_code_grouped\Approximate-equality\Approximate.java,Approximate-equality,FALSE,OK,Approximate.java,Approximate
d:\Sync-New\greenLab\data\rosetta_code_grouped\Arena-storage-pool\ArenaStoragePool.java,Arena-storage-pool,FALSE,OK,ArenaStoragePool.java,ArenaStoragePool
d:\Sync-New\greenLab\data\rosetta_code_grouped\Arithmetic-Complex\Complex.java,Arithmetic-Complex,FALSE,OK,Complex.java,Complex
d:\Sync-New\greenLab\data\rosetta_code_grouped\Arithmetic-derivative\ArithmeticDerivative.java,Arithmetic-derivative,FALSE,OK,ArithmeticDerivative.java,ArithmeticDerivative
d:\Sync-New\greenLab\data\rosetta_code_grouped\Arithmetic-evaluation\ArithmeticEvaluation.java,Arithmetic-evaluation,FALSE,OK,ArithmeticEvaluation.java,ArithmeticEvaluation
d:\Sync-New\greenLab\data\rosetta_code_grouped\Arithmetic-geometric-mean\ArithmeticGeometricMean.java,Arithmetic-geometric-mean,FALSE,OK,ArithmeticGeometricMean.java,ArithmeticGeometricMean
d:\Sync-New\greenLab\data\rosetta_code_grouped\Arithmetic-geometric-mean-Calculate-Pi\Calculate_Pi.java,Arithmetic-geometric-mean-Calculate-Pi,FALSE,OK,Calculate_Pi.java,Calculate_Pi
d:\Sync-New\greenLab\data\rosetta_code_grouped\Arithmetic-numbers\ArithmeticNumbers.java,Arithmetic-numbers,FALSE,OK,ArithmeticNumbers.java,ArithmeticNumbers
d:\Sync-New\greenLab\data\rosetta_code_grouped\Arithmetic-Rational\BigRationalFindPerfectNumbers.java,Arithmetic-Rational,FALSE,OK,BigRationalFindPerfectNumbers.java,BigRationalFindPerfectNumbers
d:\Sync-New\greenLab\data\rosetta_code_grouped\Ascending-primes\Program.java,Ascending-primes,FALSE,OK,Program.java,Program
d:\Sync-New\greenLab\data\rosetta_code_grouped\ASCII-art-diagram-converter\AsciiArtDiagramConverter.java,ASCII-art-diagram-converter,FALSE,OK,AsciiArtDiagramConverter.java,AsciiArtDiagramConverter
d:\Sync-New\greenLab\data\rosetta_code_grouped\Attractive-numbers\Attractive.java,Attractive-numbers,FALSE,OK,Attractive.java,Attractive
d:\Sync-New\greenLab\data\rosetta_code_grouped\Average-loop-length\AverageLoopLength.java,Average-loop-length,FALSE,OK,AverageLoopLength.java,AverageLoopLength
d:\Sync-New\greenLab\data\rosetta_code_grouped\Averages-Mean-angle\AverageMeanAngle.java,Averages-Mean-angle,FALSE,OK,AverageMeanAngle.java,AverageMeanAngle
d:\Sync-New\greenLab\data\rosetta_code_grouped\Averages-Mean-time-of-day\MeanTimeOfDay.java,Averages-Mean-time-of-day,FALSE,OK,MeanTimeOfDay.java,MeanTimeOfDay
d:\Sync-New\greenLab\data\rosetta_code_grouped\Averages-Mode\Mode.java,Averages-Mode,FALSE,OK,Mode.java,Mode
d:\Sync-New\greenLab\data\rosetta_code_grouped\Averages-Pythagorean-means\PythagoreanMeans.java,Averages-Pythagorean-means,FALSE,OK,PythagoreanMeans.java,PythagoreanMeans
d:\Sync-New\greenLab\data\rosetta_code_grouped\Averages-Root-mean-square\RootMeanSquare.java,Averages-Root-mean-square,FALSE,OK,RootMeanSquare.java,RootMeanSquare
d:\Sync-New\greenLab\data\rosetta_code_grouped\Averages-Simple-moving-average\MovingAverage.java,Averages-Simple-moving-average,FALSE,OK,MovingAverage.java,MovingAverage
d:\Sync-New\greenLab\data\rosetta_code_grouped\AVL-tree\AVLtree.java,AVL-tree,FALSE,OK,AVLtree.java,AVLtree
d:\Sync-New\greenLab\data\rosetta_code_grouped\Babbage-problem\Test.java,Babbage-problem,FALSE,OK,Test.java,Test
d:\Sync-New\greenLab\data\rosetta_code_grouped\Balanced-brackets\BalancedBrackets.java,Balanced-brackets,FALSE,OK,BalancedBrackets.java,BalancedBrackets
d:\Sync-New\greenLab\data\rosetta_code_grouped\Balanced-ternary\BalancedTernary.java,Balanced-ternary,FALSE,OK,BalancedTernary.java,BalancedTernary
d:\Sync-New\greenLab\data\rosetta_code_grouped\Base64-decode-data\Decode.java,Base64-decode-data,FALSE,OK,Decode.java,Decode
d:\Sync-New\greenLab\data\rosetta_code_grouped\Bell-numbers\Bell.java,Bell-numbers,FALSE,OK,Bell.java,Bell
d:\Sync-New\greenLab\data\rosetta_code_grouped\Benfords-law\BenfordsLaw.java,Benfords-law,FALSE,OK,BenfordsLaw.java,BenfordsLaw
d:\Sync-New\greenLab\data\rosetta_code_grouped\Bernoulli-numbers\BernoulliNumbers.java,Bernoulli-numbers,FALSE,OK,BernoulliNumbers.java,BernoulliNumbers
d:\Sync-New\greenLab\data\rosetta_code_grouped\Best-shuffle\BestShuffle.java,Best-shuffle,FALSE,OK,BestShuffle.java,BestShuffle
d:\Sync-New\greenLab\data\rosetta_code_grouped\Bin-given-limits\Bins.java,Bin-given-limits,FALSE,OK,Bins.java,Bins
d:\Sync-New\greenLab\data\rosetta_code_grouped\Binary-search\BinarySearchIterative.java,Binary-search,FALSE,OK,BinarySearchIterative.java,BinarySearchIterative
d:\Sync-New\greenLab\data\rosetta_code_grouped\Binary-search\BinarySearchRecursive.java,Binary-search,FALSE,OK,BinarySearchRecursive.java,BinarySearchRecursive
d:\Sync-New\greenLab\data\rosetta_code_grouped\Bioinformatics-base-count\orderedSequence.java,Bioinformatics-base-count,FALSE,OK,orderedSequence.java,orderedSequence
d:\Sync-New\greenLab\data\rosetta_code_grouped\Bioinformatics-Global-alignment\BioinformaticsGlobalAlignment.java,Bioinformatics-Global-alignment,FALSE,OK,BioinformaticsGlobalAlignment.java,BioinformaticsGlobalAlignment
d:\Sync-New\greenLab\data\rosetta_code_grouped\Bioinformatics-Sequence-mutation\SequenceMutation.java,Bioinformatics-Sequence-mutation,FALSE,OK,SequenceMutation.java,SequenceMutation
d:\Sync-New\greenLab\data\rosetta_code_grouped\Biorhythms\Biorythms.java,Biorhythms,FALSE,OK,Biorythms.java,Biorythms
d:\Sync-New\greenLab\data\rosetta_code_grouped\Bitcoin-address-validation\BitcoinAddressValidation.java,Bitcoin-address-validation,FALSE,OK,BitcoinAddressValidation.java,BitcoinAddressValidation
d:\Sync-New\greenLab\data\rosetta_code_grouped\Bitcoin-address-validation\BitcoinAddressValidator.java,Bitcoin-address-validation,FALSE,OK,BitcoinAddressValidator.java,BitcoinAddressValidator
d:\Sync-New\greenLab\data\rosetta_code_grouped\Bitcoin-public-point-to-address\BitcoinPublicPointToAddess.java,Bitcoin-public-point-to-address,FALSE,OK,BitcoinPublicPointToAddess.java,BitcoinPublicPointToAddess
d:\Sync-New\greenLab\data\rosetta_code_grouped\Blum-integer\BlumInteger.java,Blum-integer,FALSE,OK,BlumInteger.java,BlumInteger
d:\Sync-New\greenLab\data\rosetta_code_grouped\Boyer-Moore-string-search\BoyerMooreStringSearch.java,Boyer-Moore-string-search,FALSE,OK,BoyerMooreStringSearch.java,BoyerMooreStringSearch
d:\Sync-New\greenLab\data\rosetta_code_grouped\Brace-expansion\BraceExpansion.java,Brace-expansion,FALSE,OK,BraceExpansion.java,BraceExpansion
d:\Sync-New\greenLab\data\rosetta_code_grouped\Brazilian-numbers\Brazilian.java,Brazilian-numbers,FALSE,OK,Brazilian.java,Brazilian
d:\Sync-New\greenLab\data\rosetta_code_grouped\Brilliant-numbers\BrilliantNumbers.java,Brilliant-numbers,FALSE,OK,BrilliantNumbers.java,BrilliantNumbers
d:\Sync-New\greenLab\data\rosetta_code_grouped\Bulls-and-cows-Player\BullsAndCowsPlayerGame.java,Bulls-and-cows-Player,FALSE,OK,BullsAndCowsPlayerGame.java,BullsAndCowsPlayerGame
d:\Sync-New\greenLab\data\rosetta_code_grouped\Caesar-cipher\Cipher.java,Caesar-cipher,FALSE,OK,Cipher.java,Cipher
d:\Sync-New\greenLab\data\rosetta_code_grouped\Calculating-the-value-of-e\CalculateE.java,Calculating-the-value-of-e,FALSE,OK,CalculateE.java,CalculateE
d:\Sync-New\greenLab\data\rosetta_code_grouped\Calendar\CalendarTask.java,Calendar,FALSE,OK,CalendarTask.java,CalendarTask
d:\Sync-New\greenLab\data\rosetta_code_grouped\Calkin-Wilf-sequence\CalkinWilfSequence.java,Calkin-Wilf-sequence,FALSE,OK,CalkinWilfSequence.java,CalkinWilfSequence
d:\Sync-New\greenLab\data\rosetta_code_grouped\Call-a-foreign-language-function\JNIDemo.java,Call-a-foreign-language-function,FALSE,OK,JNIDemo.java,JNIDemo
d:\Sync-New\greenLab\data\rosetta_code_grouped\Call-a-function-in-a-shared-library\LoadLibJNA.java,Call-a-function-in-a-shared-library,FALSE,OK,LoadLibJNA.java,LoadLibJNA
d:\Sync-New\greenLab\data\rosetta_code_grouped\Call-a-function-in-a-shared-library\TrySort.java,Call-a-function-in-a-shared-library,FALSE,OK,TrySort.java,TrySort
d:\Sync-New\greenLab\data\rosetta_code_grouped\Camel-case-and-snake-case\CamelCaseAndSnakeCase.java,Camel-case-and-snake-case,FALSE,OK,CamelCaseAndSnakeCase.java,CamelCaseAndSnakeCase
d:\Sync-New\greenLab\data\rosetta_code_grouped\Canonicalize-CIDR\CanonicalizeCIDR.java,Canonicalize-CIDR,FALSE,OK,CanonicalizeCIDR.java,CanonicalizeCIDR
d:\Sync-New\greenLab\data\rosetta_code_grouped\Cantor-set\App.java,Cantor-set,FALSE,OK,App.java,App
d:\Sync-New\greenLab\data\rosetta_code_grouped\Carmichael-3-strong-pseudoprimes\Test.java,Carmichael-3-strong-pseudoprimes,FALSE,OK,Test.java,Test
d:\Sync-New\greenLab\data\rosetta_code_grouped\Casting-out-nines\CastingOutNines.java,Casting-out-nines,FALSE,OK,CastingOutNines.java,CastingOutNines
d:\Sync-New\greenLab\data\rosetta_code_grouped\Catalan-numbers\CatlanNumbers.java,Catalan-numbers,FALSE,OK,CatlanNumbers.java,CatlanNumbers
d:\Sync-New\greenLab\data\rosetta_code_grouped\Catalan-numbers-Pascals-triangle\Test.java,Catalan-numbers-Pascals-triangle,FALSE,OK,Test.java,Test
d:\Sync-New\greenLab\data\rosetta_code_grouped\Catamorphism\ReduceTask.java,Catamorphism,FALSE,OK,ReduceTask.java,ReduceTask
d:\Sync-New\greenLab\data\rosetta_code_grouped\Chaocipher\Chaocipher.java,Chaocipher,FALSE,OK,Chaocipher.java,Chaocipher
d:\Sync-New\greenLab\data\rosetta_code_grouped\Check-that-file-exists\FileExistsTest.java,Check-that-file-exists,FALSE,OK,FileExistsTest.java,FileExistsTest
d:\Sync-New\greenLab\data\rosetta_code_grouped\Checkpoint-synchronization\Sync.java,Checkpoint-synchronization,FALSE,OK,Sync.java,Sync
d:\Sync-New\greenLab\data\rosetta_code_grouped\Chernicks-Carmichael-numbers\ChernicksCarmichaelNumbers.java,Chernicks-Carmichael-numbers,FALSE,OK,ChernicksCarmichaelNumbers.java,ChernicksCarmichaelNumbers
d:\Sync-New\greenLab\data\rosetta_code_grouped\Cheryls-birthday\Main.java,Cheryls-birthday,FALSE,OK,Main.java,Main
d:\Sync-New\greenLab\data\rosetta_code_grouped\Chinese-remainder-theorem\ChineseRemainderTheorem.java,Chinese-remainder-theorem,FALSE,OK,ChineseRemainderTheorem.java,ChineseRemainderTheorem
d:\Sync-New\greenLab\data\rosetta_code_grouped\Chinese-zodiac\Zodiac.java,Chinese-zodiac,FALSE,OK,Zodiac.java,Zodiac
d:\Sync-New\greenLab\data\rosetta_code_grouped\Cholesky-decomposition\Cholesky.java,Cholesky-decomposition,FALSE,OK,Cholesky.java,Cholesky
d:\Sync-New\greenLab\data\rosetta_code_grouped\Chowla-numbers\Chowla.java,Chowla-numbers,FALSE,OK,Chowla.java,Chowla
d:\Sync-New\greenLab\data\rosetta_code_grouped\Church-numerals\Church.java,Church-numerals,FALSE,OK,Church.java,Church
d:\Sync-New\greenLab\data\rosetta_code_grouped\Circles-of-given-radius-through-two-points\Circles.java,Circles-of-given-radius-through-two-points,FALSE,OK,Circles.java,Circles
d:\Sync-New\greenLab\data\rosetta_code_grouped\Circular-primes\CircularPrimes.java,Circular-primes,FALSE,OK,CircularPrimes.java,CircularPrimes
d:\Sync-New\greenLab\data\rosetta_code_grouped\Cistercian-numerals\Cistercian.java,Cistercian-numerals,FALSE,OK,Cistercian.java,Cistercian
d:\Sync-New\greenLab\data\rosetta_code_grouped\Closest-pair-problem\ClosestPair.java,Closest-pair-problem,FALSE,OK,ClosestPair.java,ClosestPair
d:\Sync-New\greenLab\data\rosetta_code_grouped\Closures-Value-capture\ValueCapture.java,Closures-Value-capture,FALSE,OK,ValueCapture.java,ValueCapture
d:\Sync-New\greenLab\data\rosetta_code_grouped\Collections\Collections.java,Collections,FALSE,OK,Collections.java,Collections
d:\Sync-New\greenLab\data\rosetta_code_grouped\Colorful-numbers\ColorfulNumbers.java,Colorful-numbers,FALSE,OK,ColorfulNumbers.java,ColorfulNumbers
d:\Sync-New\greenLab\data\rosetta_code_grouped\Combinations\Comb.java,Combinations,FALSE,OK,Comb.java,Comb
d:\Sync-New\greenLab\data\rosetta_code_grouped\Combinations\Combinations.java,Combinations,FALSE,OK,Combinations.java,Combinations
d:\Sync-New\greenLab\data\rosetta_code_grouped\Combinations-and-permutations\CombinationsAndPermutations.java,Combinations-and-permutations,FALSE,OK,CombinationsAndPermutations.java,CombinationsAndPermutations
d:\Sync-New\greenLab\data\rosetta_code_grouped\Combinations-with-repetitions\MultiCombinationsTester.java,Combinations-with-repetitions,FALSE,OK,MultiCombinationsTester.java,MultiCombinationsTester
d:\Sync-New\greenLab\data\rosetta_code_grouped\Comma-quibbling\Quibbler.java,Comma-quibbling,FALSE,OK,Quibbler.java,Quibbler
d:\Sync-New\greenLab\data\rosetta_code_grouped\Command-line-arguments\Arguments.java,Command-line-arguments,FALSE,OK,Arguments.java,Arguments
d:\Sync-New\greenLab\data\rosetta_code_grouped\Compare-a-list-of-strings\CompareListOfStrings.java,Compare-a-list-of-strings,FALSE,OK,CompareListOfStrings.java,CompareListOfStrings
d:\Sync-New\greenLab\data\rosetta_code_grouped\Compare-length-of-two-strings\ReportStringLengths.java,Compare-length-of-two-strings,FALSE,OK,ReportStringLengths.java,ReportStringLengths
d:\Sync-New\greenLab\data\rosetta_code_grouped\Compile-time-calculation\CompileTimeCalculation.java,Compile-time-calculation,FALSE,OK,CompileTimeCalculation.java,CompileTimeCalculation
d:\Sync-New\greenLab\data\rosetta_code_grouped\Compiler-virtual-machine-interpreter\CompilerVirtualMachineInterpreter.java,Compiler-virtual-machine-interpreter,FALSE,OK,CompilerVirtualMachineInterpreter.java,CompilerVirtualMachineInterpreter
d:\Sync-New\greenLab\data\rosetta_code_grouped\Composite-numbers-k-with-no-single-digit-factors-whose-factors-are-all-substrings-of-k\CompositeNumbersK.java,Composite-numbers-k-with-no-single-digit-factors-whose-factors-are-all-substrings-of-k,FALSE,OK,CompositeNumbersK.java,CompositeNumbersK
d:\Sync-New\greenLab\data\rosetta_code_grouped\Compound-data-type\Point.java,Compound-data-type,FALSE,OK,Point.java,Point
d:\Sync-New\greenLab\data\rosetta_code_grouped\Concurrent-computing\Threads.java,Concurrent-computing,FALSE,OK,Threads.java,Threads
d:\Sync-New\greenLab\data\rosetta_code_grouped\Conjugate-transpose\ConjugateTranspose.java,Conjugate-transpose,FALSE,OK,ConjugateTranspose.java,ConjugateTranspose
d:\Sync-New\greenLab\data\rosetta_code_grouped\Consecutive-primes-with-ascending-or-descending-differences\ConsecutivePrimes.java,Consecutive-primes-with-ascending-or-descending-differences,FALSE,OK,ConsecutivePrimes.java,ConsecutivePrimes
d:\Sync-New\greenLab\data\rosetta_code_grouped\Constrained-random-points-on-a-circle\FuzzyCircle.java,Constrained-random-points-on-a-circle,FALSE,OK,FuzzyCircle.java,FuzzyCircle
d:\Sync-New\greenLab\data\rosetta_code_grouped\Continued-fraction\Test.java,Continued-fraction,FALSE,OK,Test.java,Test
d:\Sync-New\greenLab\data\rosetta_code_grouped\Continued-fraction-Arithmetic-Construct-from-rational-number\ConstructFromRationalNumber.java,Continued-fraction-Arithmetic-Construct-from-rational-number,FALSE,OK,ConstructFromRationalNumber.java,ConstructFromRationalNumber
d:\Sync-New\greenLab\data\rosetta_code_grouped\Convert-decimal-number-to-rational\Test.java,Convert-decimal-number-to-rational,FALSE,OK,Test.java,Test
d:\Sync-New\greenLab\data\rosetta_code_grouped\Convert-seconds-to-compound-duration\CompoundDuration.java,Convert-seconds-to-compound-duration,FALSE,OK,CompoundDuration.java,CompoundDuration
d:\Sync-New\greenLab\data\rosetta_code_grouped\Convex-hull\ConvexHull.java,Convex-hull,FALSE,OK,ConvexHull.java,ConvexHull
d:\Sync-New\greenLab\data\rosetta_code_grouped\Conways-Game-of-Life\GameOfLife.java,Conways-Game-of-Life,FALSE,OK,GameOfLife.java,GameOfLife
d:\Sync-New\greenLab\data\rosetta_code_grouped\Count-in-factors\CountingInFactors.java,Count-in-factors,FALSE,OK,CountingInFactors.java,CountingInFactors
d:\Sync-New\greenLab\data\rosetta_code_grouped\Count-in-octal\Count.java,Count-in-octal,FALSE,OK,Count.java,Count
d:\Sync-New\greenLab\data\rosetta_code_grouped\Count-occurrences-of-a-substring\CountSubstring.java,Count-occurrences-of-a-substring,FALSE,OK,CountSubstring.java,CountSubstring
d:\Sync-New\greenLab\data\rosetta_code_grouped\Count-the-coins\CountTheCoins.java,Count-the-coins,FALSE,OK,CountTheCoins.java,CountTheCoins
d:\Sync-New\greenLab\data\rosetta_code_grouped\Cramers-rule\CramersRule.java,Cramers-rule,FALSE,OK,CramersRule.java,CramersRule
d:\Sync-New\greenLab\data\rosetta_code_grouped\Create-a-file\CreateAFile.java,Create-a-file,FALSE,OK,CreateAFile.java,CreateAFile
d:\Sync-New\greenLab\data\rosetta_code_grouped\Create-a-file\CreateFileTest.java,Create-a-file,FALSE,OK,CreateFileTest.java,CreateFileTest
d:\Sync-New\greenLab\data\rosetta_code_grouped\Create-a-file-on-magnetic-tape\CreateFile.java,Create-a-file-on-magnetic-tape,FALSE,OK,CreateFile.java,CreateFile
d:\Sync-New\greenLab\data\rosetta_code_grouped\Create-an-HTML-table\HTML.java,Create-an-HTML-table,FALSE,OK,HTML.java,HTML
d:\Sync-New\greenLab\data\rosetta_code_grouped\Cuban-primes\CubanPrimes.java,Cuban-primes,FALSE,OK,CubanPrimes.java,CubanPrimes
d:\Sync-New\greenLab\data\rosetta_code_grouped\Cullen-and-Woodall-numbers\CullenAndWoodhall.java,Cullen-and-Woodall-numbers,FALSE,OK,CullenAndWoodhall.java,CullenAndWoodhall
d:\Sync-New\greenLab\data\rosetta_code_grouped\Cumulative-standard-deviation\StdDev.java,Cumulative-standard-deviation,FALSE,OK,StdDev.java,StdDev
d:\Sync-New\greenLab\data\rosetta_code_grouped\Currency\Currency.java,Currency,FALSE,OK,Currency.java,Currency
d:\Sync-New\greenLab\data\rosetta_code_grouped\Currying\Curry.java,Currying,FALSE,OK,Curry.java,Curry
d:\Sync-New\greenLab\data\rosetta_code_grouped\Curzon-numbers\CurzonNumbers.java,Curzon-numbers,FALSE,OK,CurzonNumbers.java,CurzonNumbers
d:\Sync-New\greenLab\data\rosetta_code_grouped\CUSIP\Cusip.java,CUSIP,FALSE,OK,Cusip.java,Cusip
d:\Sync-New\greenLab\data\rosetta_code_grouped\Cut-a-rectangle\CutRectangle.java,Cut-a-rectangle,FALSE,OK,CutRectangle.java,CutRectangle
d:\Sync-New\greenLab\data\rosetta_code_grouped\Cyclops-numbers\CyclopsNumbers.java,Cyclops-numbers,FALSE,OK,CyclopsNumbers.java,CyclopsNumbers
d:\Sync-New\greenLab\data\rosetta_code_grouped\Cyclotomic-polynomial\CyclotomicPolynomial.java,Cyclotomic-polynomial,FALSE,OK,CyclotomicPolynomial.java,CyclotomicPolynomial
d:\Sync-New\greenLab\data\rosetta_code_grouped\Cyclotomic-polynomial\CyclotomicPolynomials.java,Cyclotomic-polynomial,FALSE,OK,CyclotomicPolynomials.java,CyclotomicPolynomials
d:\Sync-New\greenLab\data\rosetta_code_grouped\Damm-algorithm\DammAlgorithm.java,Damm-algorithm,FALSE,OK,DammAlgorithm.java,DammAlgorithm
d:\Sync-New\greenLab\data\rosetta_code_grouped\Date-format\DateFormat.java,Date-format,FALSE,OK,DateFormat.java,DateFormat
d:\Sync-New\greenLab\data\rosetta_code_grouped\Date-format\Dates.java,Date-format,FALSE,OK,Dates.java,Dates
d:\Sync-New\greenLab\data\rosetta_code_grouped\Date-manipulation\Main.java,Date-manipulation,FALSE,OK,Main.java,Main
d:\Sync-New\greenLab\data\rosetta_code_grouped\Day-of-the-week\Yuletide.java,Day-of-the-week,FALSE,OK,Yuletide.java,Yuletide
d:\Sync-New\greenLab\data\rosetta_code_grouped\De-Bruijn-sequences\DeBruijn.java,De-Bruijn-sequences,FALSE,OK,DeBruijn.java,DeBruijn
d:\Sync-New\greenLab\data\rosetta_code_grouped\Deal-cards-for-FreeCell\Shuffler.java,Deal-cards-for-FreeCell,FALSE,OK,Shuffler.java,Shuffler
d:\Sync-New\greenLab\data\rosetta_code_grouped\Deceptive-numbers\DeceptiveNumbers.java,Deceptive-numbers,FALSE,OK,DeceptiveNumbers.java,DeceptiveNumbers
d:\Sync-New\greenLab\data\rosetta_code_grouped\Deconvolution-1D\Deconvolution1D.java,Deconvolution-1D,FALSE,OK,Deconvolution1D.java,Deconvolution1D
d:\Sync-New\greenLab\data\rosetta_code_grouped\Deconvolution-2D+\Deconvolution.java,Deconvolution-2D+,FALSE,OK,Deconvolution.java,Deconvolution
