Method_name,energy(joules)
BalancedTernary.BTernary.intValue,0.0
BalancedTernary.main,0.0
Beer.bottles,0.0
Beer.main,0.0
Bell.main,0.0
BenfordsLaw.generateFibonacci,0.0
BenfordsLaw.main,0.0
BestShuffle.bestShuffle,0.0
BestShuffle.main,0.0
Bias.biased,0.0
Bias.main,0.0
Bias.unbiased,0.0
BigRational.<init>,0.0
BigRational.add,0.0
BigRational.toDecimal,0.0
BigRational.toString,0.0
BinarySearchIterative.main,0.0
BinarySearchRecursive.main,0.0
BinarySearchTree.display,0.0
Bins.main,0.0
Bins.printBins,0.0
BioinformaticsGlobalAlignment.concatenate,334.3606
BioinformaticsGlobalAlignment.deduplicate,0.0711
BioinformaticsGlobalAlignment.lambda.shortestCommonSuperstrings.0,0.0671
BioinformaticsGlobalAlignment.lambda.shortestCommonSuperstrings.1,0.4737
BioinformaticsGlobalAlignment.permutations,1.2968
BioinformaticsGlobalAlignment.printReport,1.023
BioinformaticsGlobalAlignment.shortestCommonSuperstrings,2.5956
Biorythms.biorhythms,0.0
BitcoinAddressValidator.decodeBase58To25Bytes,0.0
BitcoinAddressValidator.sha256,0.0
Blah.print2dArray,0.0
BlumInteger..Lambda.61/0x00007f3fe800aad8.apply,0.0634
BlumInteger.isPrimeType3,1239.7562
BlumInteger.leastPrimeFactor,3169.6015
BlumInteger.main,66.5475
BogoSort.bogo,2.6058
BogoSort.display1D,0.0629
BogoSort.main,0.1228
BogoSort.shuffle,738.117
BoyerMooreStringSearch.badCharacterTable,0.0
BoyerMooreStringSearch.goodSuffixTable,0.0
BoyerMooreStringSearch.lambda.badCharacterTable.1,0.0
BoyerMooreStringSearch.main,0.0
BraceExpansion.expandR,0.0
Brazilian.isBrazilian,3865.2054
Brazilian.isPrime,0.1339
Brazilian.main,5.2016
Brazilian.sameDigits,1634.3379
CalculateE.main,0.0
Calculate_Pi.bigSqrt,0.0
Calculate_Pi.main,0.0
CalendarTask.printCalendar,0.0
CalkinWilfSequence.main,0.0
CamelCaseAndSnakeCase.main,0.0
CamelCaseAndSnakeCase.toSnakeCase,0.0
CanonicalizeCIDR.CIDR.<init>,0.0
CanonicalizeCIDR.CIDR.toString,0.0
CanonicalizeCIDR.main,0.0
CastingOutNines.castOut,0.0
CastingOutNines.main,0.0
CatlanNumbers.Catlan1.catlin,0.0
CatlanNumbers.main,0.0
Chaocipher.exec,0.0
ChernicksCarmichaelNumbers.U,0.0
ChernicksCarmichaelNumbers.aSrp,0.0
ChernicksCarmichaelNumbers.display,0.0
ChernicksCarmichaelNumbers.isPrime,0.0
ChernicksCarmichaelNumbers.main,0.0
ChernicksCarmichaelNumbers.modPow,0.0
ChernicksCarmichaelNumbers.multiply,0.0
ChernicksCarmichaelNumbers.sieve,0.0
Chess960.check,0.0
Chess960.generateFirstRank,0.0
Chess960.main,0.0
Chess960SPID..Lambda.65/0x00007f571c00b178.apply,0.0
Chess960SPID.createKnightsTable,0.0
Chess960SPID.main,0.0
Chess960SPID.retainIf,0.0
Chess960SPID.validate,0.0
Cholesky.main,0.0
Church.lambda.mult.10,0.0
Church.lambda.mult.9,0.0
Church.lambda.next.3,0.0
Church.lambda.zero.1,0.0
Church.main,0.0
Church.mult,0.0
Cipher.encode,0.0
Circles.Point.toString,0.0
Circles.findCircles,0.0
Circles.main,0.0
CircularPrimes.cycle,0.3441
CircularPrimes.isCircularPrime,0.3883
CircularPrimes.isPrime,24.3476
CircularPrimes.main,6305.8616
CircularPrimes.repunit,47.4714
CircularPrimes.testRepunit,851971.4212
Cistercian.main,0.0
Cistercian.toString,0.0
ColorfulNumbers.countColorful,0.0
ColorfulNumbers.isColorful,0.0
ColorfulNumbers.main,0.0
Comb.bitprint,0.0
Comb.comb,0.0
Comb.main,0.0
CombinationsAndPermutations.combination,5.3042
CombinationsAndPermutations.display,61.3625
CombinationsAndPermutations.main,2.6145
CombinationsAndPermutations.permutation,208.3509
Compare.compare,0.0
CompareListOfStrings.main,0.0
Complex.modulus,0.0
Complex.toString,0.0
ComplexMatrix.<init>,0.0
ComplexMatrix.conjugateTranspose,0.0
ComplexMatrix.display,0.0
ComplexMatrix.multiply,0.0
CompositeNumbersK.lambda.main.0,147.0047
CompositeNumbersK.main,687.0643
CompositeNumbersK.pollardsRho,62388.9406
CompositeNumbersK.primeFactors,100680.0847
ComputerZero.<clinit>,0.0
ComputerZero.compile,0.0
ComputerZero.main,0.0
ComputerZero.parse,0.0
ConjugateTranspose.main,0.0
ConsecutivePrimes.displayResult,0.0
ConsecutivePrimes.listPrimeNumbers,0.0
ConsecutivePrimes.main,0.0
ConstructFromRationalNumber..Lambda.62/0x00007fbbf000ad38.accept,0.0
ConstructFromRationalNumber.iterate,0.0
ConstructFromRationalNumber.lambda.iterate.0,0.0
ConstructFromRationalNumber.main,0.0
ConvexHull.Point.toString,0.0
ConvexHull.main,0.0
CountingInFactors.checkFactor,0.0
CountingInFactors.countInFactors,0.0
CountingInFactors.main,0.0
CramersRule.Matrix.coFactor,0.0
CramersRule.Matrix.get,0.0
CramersRule.main,0.0
CreateTempFile.main,0.0
CubanPrimes.cubanPrime,682.5012
CubanPrimes.isPrime,207219.4024
CubanPrimes.main,0.209
CubanPrimes.preCompute,11.4712
CullenAndWoodhall.nextNumber,19.4933
CullenAndWoodhall.numberSequence,0.5959
CullenAndWoodhall.primeSequence,1615521.3185
Currency.main,0.0
Curry.curryMethod,0.0
CurzonNumbers.main,0.0
CurzonNumbers.modulusPower,0.0
Cusip.main,0.0
CutRectangle.cutRectangle,0.0
CutRectangle.printResult,0.0
CyclotomicPolynomial.Polynomial.<init>,3049.219
CyclotomicPolynomial.Polynomial.add,8000.4522
CyclotomicPolynomial.Polynomial.degree,0.3567
CyclotomicPolynomial.Polynomial.divide,13.79
CyclotomicPolynomial.Polynomial.hasCoefficientAbs,114.8051
CyclotomicPolynomial.Polynomial.leadingCoefficient,0.1784
CyclotomicPolynomial.Polynomial.multiply,153.0868
CyclotomicPolynomial.Polynomial.toString,0.0809
CyclotomicPolynomial.Term.add,0.1735
CyclotomicPolynomial.Term.clone,15.5794
CyclotomicPolynomial.Term.multiply,0.1569
CyclotomicPolynomial.Term.toString,0.0892
CyclotomicPolynomial.cyclotomicPolynomial,24.8656
CyclotomicPolynomial.getFactors,4.2404
CyclotomicPolynomial.lambda.getFactors.0,0.0863
CyclotomicPolynomial.main,1.3335
CyclotomicPolynomials.cyclotomicPolynomial,29.9587
CyclotomicPolynomials.distinctPrimeFactors,4.1175
CyclotomicPolynomials.exactDivision,492.6129
CyclotomicPolynomials.hasHeight,13.2415
CyclotomicPolynomials.main,25.5576
CyclotomicPolynomials.substituteExponent,66.9918
CyclotomicPolynomials.toString,0.3201
DammAlgorithm.main,0.0
DateFormat.main,0.0
DateTest.main,0.0
Dates.main,0.0
DeBruijn..Lambda.65/0x00007f9d4c00b180.accept,0.0
DeBruijn.allDigits,0.0
DeBruijn.deBruijn,0.0
DeBruijn.lambda.deBruijn.1,0.0
DeBruijn.main,0.0
DeBruijn.recurse,0.0
DeBruijn.validate,0.0
DeceptiveNumbers.isDeceptive,0.0
DeceptiveNumbers.main,0.0
DeceptiveNumbers.modulusPower,0.0
Deconvolution1D.main,0.0
DeepCopy.Address.toString,0.0
DeepCopy.Person.toString,0.0
DeepCopy.deepCopy,0.0
DeepCopy.main,0.0
DemingsFunnel..Lambda.69/0x00007fe2ec00b190.apply,0.0
DemingsFunnel.experiment,0.0
DemingsFunnel.funnel,0.0
DemingsFunnel.main,0.0
DemingsFunnel.mean,0.0
DemingsFunnel.stdDev,0.0
DepartmentNumbers.main,0.0
DerangedAnagrams.main,0.0
DerangedAnagrams.printLongestDerangedAnagram,0.0
Derangement.derangements,0.0
Derangement.iota,0.0
Derangement.main,0.0
Derangement.subfact,0.0
DescendingPrimes.isPrime,0.0
DescendingPrimes.main,0.0
DetermineSentenceType.main,0.0
DetermineUniqueCharacters.main,0.0
Dice.diceGame,28.5035
Dice.main,1.7441
Dice.roll,573.8826
Digester.hexDigest,0.0
DisariumNumbers.is_disarium,760.8225
DisariumNumbers.main,15.0374
DistributionInFactorials.meanFactorialDigits,34655.9452
DiversityPredictionTheorem.averageSquareDiff,0.0
DiversityPredictionTheorem.diversityTheorem,0.0
DiversityPredictionTheorem.main,0.0
DominosExtraCredit.factorial,0.0
DominosExtraCredit.main,0.0
DoubleLinkedListTraversing..Lambda.66/0x00007f9e5800af18.accept,0.0
DoublyLinkedList.traverseList,0.0
DuffianNumbers.createDuffians,0.0
DuffianNumbers.gcd,0.0
DuffianNumbers.main,0.0
DutchNationalFlag.main,0.0
EKGSequenceConvergence.ekg,0.0
EKGSequenceConvergence.gcd,0.0
EKGSequenceConvergence.main,0.0
EKGSequenceConvergence.sameSeq,0.0
EasterRelatedHolidays.printEasterRelatedHolidays,0.0
Eertree.eertree,0.0
Eertree.subPalindromes_children,0.0
EgyptianFractions.Frac.<init>,335.7088
EgyptianFractions.Frac.toEgyptian,568.3782
EgyptianFractions.Frac.toString,0.1098
EgyptianFractions.gcd,663.5756
EgyptianFractions.main,18.5446
ElementWiseOp..Lambda.69/0x00007f52e800c000.apply,0.0
ElementWiseOp..Lambda.70/0x00007f52e800c240.accept,0.0
ElementWiseOp.matrOp,0.0
ElementWiseOp.printMatrix,0.0
ElementaryCellularAutomatonInfiniteLength.evolve,0.0
ElementaryCellularAutomatonInfiniteLength.nextStep,0.0
ElementaryCellularAutomatonRandomNumberGenerator.evolve,0.0
EllipticCurveDigitalSignatureAlgorithm.EllipticCurve.<init>,0.0
EllipticCurveDigitalSignatureAlgorithm.EllipticCurve.add,0.0
EllipticCurveDigitalSignatureAlgorithm.EllipticCurve.multiply,0.0
EllipticCurveDigitalSignatureAlgorithm.EllipticCurve.printPointWithPrefix,0.0
EllipticCurveDigitalSignatureAlgorithm.ecdsa,0.0
EllipticCurveDigitalSignatureAlgorithm.extendedGCD,0.0
EllipticCurveDigitalSignatureAlgorithm.signature,0.0
EllipticCurveDigitalSignatureAlgorithm.verify,0.0
Emirp.isEmirp,582.9053
Emirp.isPrime,227.329
Emirp.main,11.0297
EqualPrimeAndCompositeSums.CompositeIterator.next,2.6318
EqualPrimeAndCompositeSums.PrimeIterator.isPrime,140.2241
EqualPrimeAndCompositeSums.PrimeIterator.listPrimeNumbers,6.3687
EqualPrimeAndCompositeSums.PrimeIterator.next,12011.3449
EqualPrimeAndCompositeSums.main,12.2951
EqualRisesFalls.equalRisesAndFalls,1256.1183
EqualRisesFalls.main,52.2697
EstheticNumbers..Lambda.64/0x00007f4ad000b190.accept,0.0
EstheticNumbers.1.accept,0.0
EstheticNumbers.isEsthetic,0.0
EstheticNumbers.lambda.listEsths.0,0.0
EstheticNumbers.lambda.main.1,0.0
EstheticNumbers.listEsths,0.0
EuclidMullinSequence.listPrimesUpTo,4.8505
EuclidMullinSequence.main,0.1744
EuclidMullinSequence.pollardsRho,7820059.8485
EuclidMullinSequence.smallestPrimeFactor,8.6287
Euler.euler,0.0
Euler.main,0.0
EulerIdentity.main,0.0
Evaluator.1.getJavaFileForOutput,0.0
Evaluator.2.<init>,0.0
Evaluator.3.<init>,0.0
Evaluator.3.findClass,0.0
Evaluator.eval,0.0
EvoAlgo.fitness,2.6415
EvoAlgo.main,1.4466
EvoAlgo.mutate,58.7428
ExecutableLibrary.lambda.main.2,4.5251
ExecutableLibrary.main,0.3368
Extreme.main,0.0
F5.<init>,0.0
FCNode.addChildren,0.0
FCNode.display,0.0
FD.main,0.0
FWord.entropy,1050.1157
FWord.main,2.5189
FWord.nextFWord,13.6991
FacesFromMesh.Edge.toString,0.0
FacesFromMesh.main,0.0
FacesFromMesh.toPerimeterFormatFace,0.0
FactorialBaseNumbersIndexingPermutations..Lambda.62/0x00007fc01800aad8.apply,0.0628
FactorialBaseNumbersIndexingPermutations.increment,0.2471
FactorialBaseNumbersIndexingPermutations.main,928.9479
FactorialBaseNumbersIndexingPermutations.permutation,14143.216
FactorialBaseNumbersIndexingPermutations.toString,0.7419
Factorion.factorialRec,482.8
Factorion.fromDeci,790.7713
Factorion.main,128.8358
Factorion.operate,226.351
FairshareBetweenTwoAndMore.main,0.0
Farey.Frac.compareTo,0.0608
Farey.Frac.toString,0.1217
Farey.genFarey,698.1014
Farey.main,1.2469
FaulhabersFormula.Frac.compareTo,0.0
FaulhabersFormula.Frac.toString,0.0
FaulhabersFormula.Frac.unaryMinus,0.0
FaulhabersFormula.bernoulli,0.0
FaulhabersFormula.binomial,0.0
FaulhabersFormula.faulhaber,0.0
FaulhabersFormula.gcd,0.0
FaulhabersTriangle.Frac.times,0.0
FaulhabersTriangle.Frac.toBigDecimal,0.0
FaulhabersTriangle.Frac.toString,0.0
FaulhabersTriangle.bernoulli,0.0
FaulhabersTriangle.faulhaberTriangle,0.0
FaulhabersTriangle.gcd,0.0
FaulhabersTriangle.main,0.0
Feigenbaum.main,0.0
Fen.createFen,0.0
Fen.toFen,0.0
FermatNumbers.fermat,0.0561
FermatNumbers.getFactors,377.6721
FermatNumbers.getString,0.6838
FermatNumbers.lambda.getString.0,0.1777
FermatNumbers.lambda.getString.1,0.1946
FermatNumbers.main,0.3191
FermatNumbers.pollardRhoFast,240216.9228
FermatNumbers.pollardRhoG,636863.6337
FileExistsTest.test,0.0
FileExt.extIsIn,0.0
FileExt.main,0.0
FileIODemo.main,0.0
FileIODemo2.main,0.0
FileIODemo3.main,0.0
FileModificationTimeTest.test,0.0
FileRenameTest.renameFile,0.0
FileRenameTest.test,0.0
FileSizeDistribution..Lambda.63/0x00007f860c00ad28.apply,0.0
FileSizeDistribution.lambda.main.0,0.0
FileSizeDistribution.main,0.0
FindBareTags.main,0.0
FindPalindromicNumbersBases23.createTernaryPalindrome,12379.3645
FindPalindromicNumbersBases23.display,0.4856
FindPalindromicNumbersBases23.isPalindromic,6500.7351
FindPalindromicNumbersBases23.main,6001.1968
FindPalindromicNumbersBases23.toBinaryString,17022.5273
FindPalindromicNumbersBases23.toTernaryString,49390.3591
FindTheLastSundayOfEachMonth..Lambda.65/0x00007fb6f400acf8.apply,0.0
FindTheLastSundayOfEachMonth.lambda.lastSundaysOf.0,0.0
FindTheLastSundayOfEachMonth.main,0.0
FindTriangle.Point.<init>,0.0
FindTriangle.Point.toString,0.0
FindTriangle.Triangle.distanceSquarePointToSegment,0.0
FindTriangle.Triangle.toString,0.0
FindTriangle.main,0.0
FindTriangle.test,0.0
Fire.print,0.0
Fire.process,0.0
Fire.processRows,0.0
FirstClass.main,0.0
FirstClassEnvironments.code,0.0
FirstClassEnvironments.hailstone,0.0
FirstClassFunctionsUseNumbersAnalogously.main,0.0
FirstPowerOfTwo.p,19175.5771
FirstPowerOfTwo.runTest,0.6055
FiveFSS.main,0.0
Fivenum.main,0.0
FizzBuzz.main,0.0
FizzBuzzThrower.main,0.0
Floyd.printTriangle,0.0
FloydWarshall.printResult,0.0
Format.main,0.0
FortunateNumbers.main,766.7942
FourIsMagic.fourIsMagic,0.0
FourIsMagic.main,0.0
FourIsMagic.numToString,0.0
FourIsMagic.toSentence,0.0
FourSquares.fourSquare,0.0
FourSquares.notValid,0.0
FractionReduction.digitsInCommon,7838.883
FractionReduction.isValid,1.8027
FractionReduction.lambda.reduce.0,0.1213
FractionReduction.reduce,469.8895
FractionReduction.removeDigit,11855.6894
Fractran.compile,0.0
Fractran.dump,0.0
Fractran.exec,0.0
Fractran.step,0.0
FunctionDefinition.main,0.0
FunctionPrototype.main,0.0
FunctionalCoverageTree.main,0.0
FuscSequence.<clinit>,0.0
FuscSequence.main,0.0
FuzzyCircle.main,0.0
GOST28147_89.convertCharactersToBinary,0.0
GOST28147_89.createKeys,0.0
GOST28147_89.gostAlgorithm,0.0
GOST28147_89.mainStep,0.0
GOST28147_89.sBoxFunction,0.0
GOST28147_89.shiftLeft,0.0
GaltonBox.dropBalls,0.1201
GaltonBox.longest,0.04
GaltonBox.print,1.3616
GaltonBox.printBall,3.8444
GaltonBox.printCollectors,29.5139
GaltonBox.printPins,5.0858
GaltonBox.run,0.0801
GameOfLife.life,0.0
GameOfLife.main,0.0
GameOfLife.print,0.0
GammaFunction.main,0.0
GapfulNumbers.main,0.0
GaussianElimination.main,0.0
GeneratorExponential.lambda.main.0,0.0
GeneratorExponential.main,0.0
GiugaNumbers..Lambda.61/0x00007f5efc00aad8.apply,0.0
GiugaNumbers.checkIfGiugaNumber,0.0
GiugaNumbers.combinations,0.0
GiugaNumbers.main,0.0
GoldenRatio.iterate,0.0
GraphColoring.colourise,0.0
GraphColoring.display,0.0
GraphColoring.initialiseGraph,0.0
GraphColoring.updateSaturation,0.0
Grapheme.printLength,0.0
GrayCode.grayDecode,0.0
GrayCode.grayDecode2,0.0
GrayCode.grayEncode2,0.0
GrayCode.main,0.0
Grid.createGrid,0.0
Grid.display,0.0
Grid.pathExists,0.0
Grid.percolate,0.0
GroupStage.main,0.0
HTTPSAuthenticated.main,0.0
HailstoneSequence.hailstoneSequence,125.2325
HailstoneSequence.main,0.7631
Happy.main,0.0
HappyNumbers.isHappy,0.0
HappyNumbers.lambda.isHappy.0,0.0
HappyNumbers.main,0.0
Harshad.main,0.0
HashJoin.lambda.main.0,0.0
HeapsAlgorithm.output,0.0
Heron.gcd,103.3848
Heron.main,9.9701
Heron.sort,3.6887
HexWords.display,0.0
HexWords.lambda.main.1,0.0
HexWords.lambda.main.2,0.0
HexWords.lambda.main.5,0.0
HexWords.main,0.0
Hickerson.almostInteger,0.0
Hickerson.main,0.0
Hidato.printBoard,0.0
Hidato.setup,0.0
HilbertCurve.drawCurve,0.0
HilbertCurve.fromD,0.0
HilbertCurve.getPointsForCurve,0.0
HilbertCurve.main,0.0
HofQ.Q,0.0
HofQ.main,0.0
HolyKnightsTour.countNeighbors,0.1303
HolyKnightsTour.neighbors,19.5982
HolyKnightsTour.printResult,0.2605
HolyKnightsTour.solve,26156.7158
HomePrimes..Lambda.62/0x00007fc98c00aad8.apply,0.2597
HomePrimes.concatenate,1.0564
HomePrimes.listPrimes,0.2591
HomePrimes.main,2.8209
HomePrimes.pollardRho,2425.5982
HomePrimes.primeFactors,1.0532
HomePrimes.smallPrimeFactors,0.5186
Hopido.neighbors,0.0
Hopido.printResult,0.0
Hopido.solve,0.0
Horner.main,0.0
HumbleNumbers.humble,357.2118
HumbleNumbers.lambda.main.0,0.061
HumbleNumbers.main,620.3212
IBAN.main,0.0
IBAN.validateIBAN,0.0
ISIN.ISINtest,0.0
ISIN.luhnTest,0.0
ISIN.main,0.0
ImaginaryBaseNumber.Complex.divide,0.0
ImaginaryBaseNumber.Complex.inv,0.0
ImaginaryBaseNumber.Complex.toQuaterImaginary,0.0
ImaginaryBaseNumber.Complex.toString,0.0
ImaginaryBaseNumber.Complex.unaryMinus,0.0
ImaginaryBaseNumber.QuaterImaginary.<init>,0.0
ImaginaryBaseNumber.QuaterImaginary.lambda.new.0,0.0
ImaginaryBaseNumber.QuaterImaginary.toComplex,0.0
ImaginaryBaseNumber.main,0.0
InfiniteSieve.NonPrimeSequence.<init>,0.0
InfiniteSieve.NonPrimeSequence.compareTo,0.0
InfiniteSieve.main,0.0
InfiniteSieve.next,0.0
IntToWords.int2Text,0.0
IntToWords.main,0.0
IntegerOverflow.main,0.0
Integrator..Lambda.62/0x00007ff05c00ad18.<init>,0.2198
Integrator.<init>,1.2067
Integrator.integrate,944.9133
Integrator.main,143.0713
Intersection.Point.<init>,0.0
Intersection.main,0.0
IsLeap.main,0.0
Isqrt.isqrt,0.0
Isqrt.main,0.0
IteratedDigitsSquaring..Lambda.61/0x00007ff59800aad8.test,0.0111
IteratedDigitsSquaring.calc,1881.0234
IteratedDigitsSquaring.main,2.1408
JacobiSymbol.jacobiSymbol,0.0
JacobiSymbol.main,0.0
JacobsthalNumbers.jacobsthalNumber,0.0
JacobsthalNumbers.jacobsthalPrimeNumber,0.0
JacobsthalNumbers.main,0.0
Jensen.sum,0.0
Jensen2.main,0.0
Josephus.execute,0.0
Josephus.executeAllButM,0.0
Josephus.main,0.0
JugglerSequence.juggler,2343.6261
JugglerSequence.main,1.0946
KT.autoKnightTour,0.0
KT.neighbors,0.0
KT.tour,0.0
KnightsTour.neighbors,0.0
KnightsTour.printResult,0.0
Kolakoski.main,0.0
Kosaraju..Lambda.63/0x00007f04fc00af20.accept,0.0
Kosaraju.main,0.0
LIS.main,0.0
LZW.compress,0.0
LZW.decompress,0.0
LZW.main,0.0
LahNumbers.lahNumber,0.0
LahNumbers.main,0.0
LargestNumberDivisibleByItsDigits.isLynchBellDecimal,0.1317
LargestNumberDivisibleByItsDigits.isLynchBellHex,383.9012
LargestNumberDivisibleByItsDigits.lambda.isLynchBellHex.2,50.6784
LargestNumberDivisibleByItsDigits.main,22.0914
LargestProperDivisor.main,0.0
LastFridays.main,0.0
LatinSquaresInReducedForm.LatinSquare.<init>,11.1923
LatinSquaresInReducedForm.PermutationGenerator.getNext,281.0525
LatinSquaresInReducedForm.PermutationGenerator.hasMore,0.1985
LatinSquaresInReducedForm.PermutationGenerator.reset,2.9554
LatinSquaresInReducedForm.getReducedLatinSquares,152.3897
LatinSquaresInReducedForm.main,1.0959
Leapyear.main,0.0
LeftFac.factorial,318061.9251
LeftFac.leftFact,194.6394
LeftFac.main,37.4879
LegendrePrimeCounter.generatePrimes,0.5697
LegendrePrimeCounter.main,0.8546
LegendrePrimeCounter.phi,283.4386
Letters..Lambda.62/0x00007f3bd400aad8.test,0.0
Letters.lambda.main.0,0.0
Letters.lambda.main.1,0.0
Letters.main,0.0
Levenshtein.main,0.0
LexicographicalNumbers.lexOrder,0.0
LexicographicalNumbers.main,0.0
Life.life,0.0
Life.main,0.0
LinePrinter.main,0.0
LinearCombination.main,0.0
LinearCongruentialGenerator..Lambda.63/0x00007f158000ad18.accept,0.0
LinearCongruentialGenerator..Lambda.66/0x00007f158000b3d0.accept,0.0
LinearCongruentialGenerator.main,0.0
ListFields.main,0.0
ListMethods.main,0.0
ListRootedTrees.show,0.0
ListRootedTrees.test,0.0
Logic.main,0.0
LogicPuzzle.check,0.0
LogicPuzzle.check3,0.0
LogicPuzzle.check6,0.0
LogisticCurveFitting.f,0.0
LogisticCurveFitting.main,0.0
LongLiteralsWithContinuations.lambda.main.0,0.0
LongLiteralsWithContinuations.main,0.0
LongLiteralsWithContinuations.splitToList,0.0
LongPrimes.findPeriod,3238.5453
LongPrimes.main,2.7469
LongPrimes.sieve,0.3829
LongYear.longYear,0.0
LongYear.main,0.0
LongestCommonSubstring.main,0.0
LoopIncrementWithinBody.isPrime,188.6785
LoopIncrementWithinBody.main,1.5534
LoopsWithMultipleRanges.main,0.0
LoopsWrongRanges.runTest,0.0
Ls.<init>,0.0
Ls.lambda.new.0,0.0
Ls.size,0.0
Ls.toString,0.0
LuckyNumbers.luckyNumbers,0.0
Ludic.ludicUpTo,0.0
Ludic.main,0.0
Lychrel.lychrel,0.0
Lychrel.main,0.0
Lychrel.rev,0.0
LynchBell.main,2712.4051
LynchBell.testNumber,0.0639
LynchBell.uniqueDigits,285.8351
MC.getPi,5981.0907
MC.main,0.2438
MD4Task.main,0.0
MTF.decode,0.0
MTF.test,0.0
MacVendorLookup.getMacVendor,62.4001
MacVendorLookup.main,4.91
MagicConstant.main,0.0
MagicConstant.minimumOrder,0.0
MagicSquare.main,0.0
MagicSquareDoublyEven.magicSquareDoublyEven,0.0
MagicSquareDoublyEven.main,0.0
MagicSquareSinglyEven.magicSquareSinglyEven,0.0
MagicSquareSinglyEven.main,0.0
MagnanimousNumbers.isMagnanimous,0.0
MagnanimousNumbers.isPrime,0.0
MagnanimousNumbers.runTask,0.0
Main.cmp,0.0
Main.findIntransitive3,0.0
Main.findIntransitive4,0.0
Main.fourFaceCombos,0.0
Main.main,0.0
MainApp.isPrime,845382.9169
MainApp.main,0.7569
MainEntry.executeCmd,0.0
MainStepGOST28147_89..Lambda.65/0x00007f0f2c00b800.apply,0.0
MainStepGOST28147_89.displayBytesFromBinary,0.0
MainStepGOST28147_89.main,0.0
ManOrBoy.A,0.0
ManOrBoy.main,0.0
Markov.main,0.0
Markov.readRules,0.0
Markov.readTests,0.0
Matrix.<init>,0.0
Matrix.display,0.0
Matrix.magnitude,0.0
Matrix.multiply,0.0
MatrixChainMultiplication.getOptimalParenthesizations,0.0
MatrixChainMultiplication.matrixChainOrder,0.0
MatrixChainMultiplication.runMatrixChainMultiplication,0.0
MayanCalendar.<clinit>,0.0
MayanCalendar.longCount,0.0
MayanCalendar.lordsOfTheNight,0.0
MayanCalendar.main,0.0
MayanCalendar.tzolkin,0.0
MayanNumerals.displayMyan,0.0
MayanNumerals.displayMyanLine2,0.0
MayanNumerals.displayMyanLine4,0.0
MayanNumerals.displayMyanLine5,0.0
MayanNumerals.getBullet,0.0
MayanNumerals.main,0.0
McNuggets.main,0.0
MeanTimeOfDay.degreesToTime,0.0
MertensFunction.main,1724.2992
MertensFunction.mertenFunction,170.3578
MetallicRatios.lucasSequence,0.0
MetallicRatios.lucasSequenceRatio,0.0
MetallicRatios.main,0.0
MianChowlaSequence.main,0.0608
MianChowlaSequence.mianChowla,190.8727
